ID,Name,Level,Parent Name
743,Kalkfjerner,4,Rengøringsmidler og Kemiprodukter
744,Universalrens,4,Rengøringsmidler og Kemiprodukter
746,Sæbe til gulvvaskemaskine og gulvvask,4,Rengøringsmidler og Kemiprodukter
736,Rengøringsrobotter,3,Produkter
783,Generator,3,Produkter
792,Generator Benzin,4,Generator
784,Generator Diesel,4,Generator
793,Generatoranlæg,4,Generator
791,Tilbehør til generator,4,Generator
790,Affugtere,3,Produkter
738,Professionelle Affugtere,4,Affugtere
635,Poolaffugtere,4,Affugtere
636,Affugtere tilbehør,4,Affugtere
797,Varmekanoner,3,Produkter
798,Tilbehør til varmekanoner,4,Varmekanoner
658,Professionelle varmeblæsere,4,Varmekanoner
660,Varmekanoner uden skorsten,4,Varmekanoner
661,Varmekanoner med skorsten,4,Varmekanoner
664,Gaskanoner,4,Varmekanoner
665,Infrarød/varmepanel,4,Varmekanoner
657,Varmeblæsere,4,Varmekanoner
659,Tilbehør varmeblæsere,4,Varmekanoner
643,Luftrensere,3,Produkter
644,Luftrenser tilbehør,4,Luftrensere
645,Ion anlæg,4,Luftrensere
639,Ventilatorer,3,Produkter
640,Ventilatorer tilbehør,4,Ventilatorer
637,Befugtere,3,Produkter
641,Aircon,3,Produkter
668,Husvandværk,3,Produkter
670,Motorvandpumper,4,Husvandværk
671,Dykpumper,4,Husvandværk
647,Måleudstyr,3,Produkter
33,Service og reparation af rengøringsmaskiner,2,webshop
145,Reparation højtryksrenser,3,Service og reparation af rengøringsmaskiner
146,Reparation gulvvaskemaskine,3,Service og reparation af rengøringsmaskiner
148,Reparation fejemaskine,3,Service og reparation af rengøringsmaskiner
149,Reparation industristøvsuger,3,Service og reparation af rengøringsmaskiner
150,Reparation rørføring,3,Service og reparation af rengøringsmaskiner
21,Leje maskiner,2,webshop
111,Tilbehør og reservedele,2,webshop
154,Støvsuger tilbehør,3,Tilbehør og reservedele
220,Tilbehør til Kärcher støvsuger,4,Støvsuger tilbehør
155,Støvsugeposer Kärcher,5,Tilbehør til Kärcher støvsuger
168,Fleecefilterposer til støvsuger,6,Støvsugeposer Kärcher
169,Papirfilterposer til støvsuger,6,Støvsugeposer Kärcher
156,Filter til støvsuger Kärcher,5,Tilbehør til Kärcher støvsuger
157,Mundstykke til støvsuger Kärcher,5,Tilbehør til Kärcher støvsuger
158,Håndtag til støvsuger Kärcher,5,Tilbehør til Kärcher støvsuger
159,Forlængerrør til Kärcher støvsuger,5,Tilbehør til Kärcher støvsuger
160,Støvsugeslange kärcher,5,Tilbehør til Kärcher støvsuger
